id_persona,region,sexo,edad,educacion_anios,experiencia_anios,ingreso_mensual,formal,sector
63,Ancash,Hombre,56,12.0,37,3154.82,Si,Manufactura
64,Cusco,Hombre,52,11.0,34,3438.32,Si,Manufactura
65,Arequipa,Mujer,27,18.0,2,2900.27,Si,Comercio
66,AREQUIPA,Hombre,24,11.0,6,1990.95,No,Transporte
67,Lima,Hombre,58,12.0,39,3588.75,No,Construccion
68,Ancash,Hombre,23,18.0,0,3220.92,No,Servicios
69,Lima,Hombre,25,18.0,0,2883.61,No,Comercio
70,Loreto,Mujer,51,14.0,30,3838.11,Si,Comercio
71,Puno,Mujer,49,16.0,26,3831.74,No,Servicios
72,Lima,Hombre,54,14.0,33,2998.06,No,Construccion
73,Lima,Hombre,59,12.0,40,2707.67,No,Comercio
74,Ancash,Hombre,35,,16,2966.91,Si,Comercio
75,Junin,Mujer,32,16.0,9,3809.08,Si,Transporte
76,Puno,Mujer,49,16.0,26,4140.7,Si,Construccion
77,Puno,Hombre,38,16.0,15,3887.41,No,Comercio
78,Lima,Hombre,36,16.0,13,,Si,Construccion
79,Cusco,Hombre,38,11.0,20,2425.5,Si,Servicios
80,Lima,Hombre,47,14.0,26,3299.03,No,Manufactura
81,Ica,Hombre,45,11.0,27,2763.88,Si,Comercio
82,Junin,Mujer,56,14.0,35,3232.94,Si,Transporte
83,Cusco,Mujer,45,14.0,24,3500.37,Si,Servicios
84,Lima,Hombre,42,16.0,19,3719.35,No,Construccion
85,Arequipa,Hombre,28,12.0,9,2634.47,Si,Servicios
86,Cusco,Mujer,31,11.0,13,1340.03,No,Comercio
87,Puno,Mujer,20,12.0,1,2652.59,Si,Construccion
88,Junin,Hombre,20,16.0,0,3969.61,No,Manufactura
89,Ica,Mujer,53,16.0,30,3633.72,Si,Servicios
90,La Libertad,Mujer,51,11.0,33,3099.26,Si,Comercio
91,Lima,Hombre,44,11.0,26,3584.57,No,Transporte
92,Puno,Hombre,59,16.0,36,,Si,Construccion
93,Puno,Hombre,20,11.0,2,2758.99,Si,Servicios
94,Piura,Mujer,35,16.0,12,3659.35,Si,Servicios
95,Puno,Hombre,58,16.0,35,3566.36,No,Manufactura
96,La Libertad,Mujer,24,11.0,6,1665.71,No,Manufactura
97,Piura,Mujer,41,11.0,23,1968.5,No,Transporte
98,La Libertad,Hombre,48,18.0,23,4961.22,Si,Transporte
99,Lima,Hombre,-4,12.0,3,2912.9,Si,Comercio
100,Lima,Hombre,31,12.0,12,3165.44,Si,Comercio
101,Lima,Hombre,45,16.0,22,3798.8,Si,Transporte
102,Junin,Hombre,35,18.0,10,4196.48,Si,Transporte
103,Arequipa,Mujer,56,18.0,31,5129.76,Si,Construccion
104,La Libertad,Mujer,41,16.0,18,3831.18,Si,Manufactura
105,cusco,Mujer,48,12.0,29,2486.71,No,Comercio
106,Arequipa,Mujer,33,11.0,15,2823.72,Si,Manufactura
107,Cusco,Hombre,47,16.0,24,4345.55,Si,Manufactura
108,Puno,Mujer,24,14.0,3,2197.89,No,Transporte
109,Arequipa,Hombre,49,14.0,28,4019.91,Si,Construccion
110,Lima,Hombre,24,18.0,0,1995.67,No,Servicios
111,Arequipa,Hombre,31,11.0,13,2462.7,No,Construccion
112,Lima,Hombre,35,14.0,14,3263.26,No,Construccion
113,Ica,Hombre,45,11.0,27,3811.71,Si,Manufactura
114,Ancash,Hombre,45,14.0,24,2785.29,No,Construccion
115,Junin,Mujer,40,11.0,22,2333.16,Si,Comercio
116,Ica,Hombre,58,11.0,40,3102.67,Si,Manufactura
117,Ancash,Mujer,55,11.0,37,2557.71,Si,Comercio
118,Lima,Mujer,52,16.0,29,3204.28,No,Servicios
119,Ica,Hombre,49,16.0,26,3879.61,Si,Manufactura
120,Piura,Mujer,56,14.0,35,2870.13,Si,Servicios
15,Lima,Hombre,42,18.0,17,3499.3,No,Transporte
56,Ica,Mujer,42,16.0,19,3869.37,Si,Manufactura
